index,Year,Storm Name,Start Date,End Date,Dates,Max Wind Speed (mph),Min pressure (mb),Storm Type
162,1970,CELIA,07-31-70,08-05-70,7/31 - 8/5,120,944.0,Hurricane
163,1970,DOROTHY,08-18-70,08-22-70,8/18 - 8/22,60,996.0,Tropical Storm
164,1970,ELLA,09-08-70,09-13-70,9/8 - 9/13,110,962.0,Hurricane
165,1970,FELICE,09-12-70,09-19-70,9/12 - 9/19,60,990.0,Tropical Storm
166,1970,GRETA,09-26-70,10-04-70,9/26 - 10/4,40,1003.0,Tropical Storm
167,1971,ARLENE,07-04-71,07-08-71,7/4 - 7/8,55,1000.0,Tropical Storm
168,1971,BETH,08-10-71,08-17-71,8/10 - 8/17,75,977.0,Hurricane
169,1971,CHLOE,08-18-71,08-25-71,8/18 - 8/25,55,1004.0,Tropical Storm
170,1971,DORIA,08-20-71,08-29-71,8/20 - 8/29,55,989.0,Tropical Storm
171,1971,FERN,09-03-71,09-13-71,9/3 - 9/13,80,978.0,Hurricane
172,1971,HEIDI,09-11-71,09-15-71,9/11 - 9/15,55,996.0,Tropical Storm
173,1971,EDITH,09-05-71,09-18-71,9/5 - 9/18,140,943.0,Hurricane
174,1971,JANICE,09-21-71,09-24-71,9/21 - 9/24,55,1005.0,Tropical Storm
175,1971,IRENE:OLIVIA,09-11-71,10-01-71,9/11 - 10/1,100,948.0,Hurricane
176,1971,GINGER,09-06-71,10-05-71,9/6 - 10/5,95,959.0,Hurricane
177,1971,KRISTY,10-18-71,10-21-71,10/18 - 10/21,45,992.0,Tropical Storm
178,1971,LAURA,11-12-71,11-22-71,11/12 - 11/22,60,994.0,Tropical Storm
179,1972,ALPHA,05-23-72,05-29-72,5/23 - 5/29,60,991.0,Subtropical Storm
180,1972,AGNES,06-14-72,06-23-72,6/14 - 6/23,75,977.0,Hurricane
181,1972,BETTY,08-22-72,09-01-72,8/22 - 9/1,90,976.0,Hurricane
182,1972,CARRIE,08-29-72,09-05-72,8/29 - 9/5,60,992.0,Tropical Storm
183,1972,DAWN,09-05-72,09-14-72,9/5 - 9/14,70,997.0,Hurricane
184,1972,CHARLIE,09-19-72,09-22-72,9/19 - 9/22,60,944.0,Extratropical
185,1972,DELTA,11-01-72,11-07-72,11/1 - 11/7,40,1001.0,Subtropical Storm
186,1973,ALICE,07-01-73,07-07-73,7/1 - 7/7,80,986.0,Hurricane
